DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
Shaun Livingston,"Livingston, Shaun",2004,Y,1,2733,shaun_livingston,1,GSW,Golden State,warriors,1610612744,Warriors,2018
Ron Livingstone,"Livingstone, Ron",1949,Y,0,77392,HISTADD_ron_livingstone,0,,,,0,,1950
Horacio Llamas,"Llamas, Horacio",1996,Y,0,1024,horacio_llamas,0,,,,0,,2002
Earl Lloyd,"Lloyd, Earl",1950,Y,0,77394,HISTADD_bigcat_lloyd,0,,,,0,,1959
Lewis Lloyd,"Lloyd, Lewis",1981,Y,0,77395,HISTADD_lewis_lloyd,0,,,,0,,1989
Scott Lloyd,"Lloyd, Scott",1976,Y,0,77396,HISTADD_scott_lloyd,0,,,,0,,1982
Bob Lochmueller,"Lochmueller, Bob",1952,Y,0,77397,HISTADD_bob_lochmueller,0,,,,0,,1952
Robert Lock,"Lock, Robert",1988,Y,0,77398,HISTADD_rob_lock,0,,,,0,,1988
Darrell Lockhart,"Lockhart, Darrell",1983,Y,0,77399,HISTADD_darrell_lockhart,0,,,,0,,1983
Ian Lockhart,"Lockhart, Ian",1990,Y,0,1100,ian_lockhart,0,,,,0,,1990
Kevin Loder,"Loder, Kevin",1981,Y,0,77401,HISTADD_kevin_loder,0,,,,0,,1983
Don Lofgran,"Lofgran, Don",1950,Y,0,77402,HISTADD_donald_lofgran,0,,,,0,,1953
Zach Lofton,"Lofton, Zach",2018,Y,1,1629155,zach_lofton,0,,,,0,,2018
Johnny Logan,"Logan, Johnny",1946,Y,0,77403,HISTADD_johnny_logan,0,,,,0,,1950
Brad Lohaus,"Lohaus, Brad",1987,Y,0,38,brad_lohaus,0,,,,0,,1997
Art Long,"Long, Art",2000,Y,0,1609,art_long,0,,,,0,,2002
Grant Long,"Long, Grant",1988,Y,0,3,grant_long,0,,,,0,,2002
John Long,"Long, John",1978,Y,0,1381,john_long,0,,,,0,,1996
Paul Long,"Long, Paul",1967,Y,0,77406,HISTADD_paul_long,0,,,,0,,1970
Shawn Long,"Long, Shawn",2016,Y,1,1627848,shawn_long,0,,,,0,,2016
Luc Longley,"Longley, Luc",1991,Y,0,26,luc_longley,0,,,,0,,2000
Kevon Looney,"Looney, Kevon",2015,Y,11,1626172,kevon_looney,1,GSW,Golden State,warriors,1610612744,Warriors,2018
Brook Lopez,"Lopez, Brook",2008,Y,0,201572,brook_lopez,1,BKN,Brooklyn,nets,1610612751,Nets,2018
Felipe Lopez,"Lopez, Felipe",1998,Y,0,1732,felipe_lopez,0,,,,0,,2002
Raul Lopez,"Lopez, Raul",2002,Y,0,2221,raul_lopez,0,,,,0,,2004
Robin Lopez,"Lopez, Robin",2008,Y,0,201577,robin_lopez,1,NYK,New York,knicks,1610612752,Knicks,2018
Ryan Lorthridge,"Lorthridge, Ryan",1994,Y,0,943,ryan_lorthridge,0,,,,0,,1994
Jim Loscutoff,"Loscutoff, Jim",1955,Y,0,77409,HISTADD_jim_loscutoff,0,,,,0,,1963
Plummer Lott,"Lott, Plummer",1967,Y,0,77410,HISTADD_plummer_lott,0,,,,0,,1968
Kevin Loughery,"Loughery, Kevin",1962,Y,0,77411,HISTADD_kevin_loughery,0,,,,0,,1972
Bob Love,"Love, Bob",1966,Y,0,77412,HISTADD_butterbean_love,0,,,,0,,1976
Kevin Love,"Love, Kevin",2008,Y,0,201567,kevin_love,1,CLE,Cleveland,cavaliers,1610612739,Cavaliers,2018
Stan Love,"Love, Stan",1971,Y,0,77413,HISTADD_stan_love,0,,,,0,,1974
Clyde Lovellette,"Lovellette, Clyde",1953,Y,0,77414,HISTADD_clyde_lovellette,0,,,,0,,1963
Sidney Lowe,"Lowe, Sidney",1983,Y,0,77415,HISTADD_sidney_lowe,0,,,,0,,1989
Chuck Lowery,"Lowery, Chuck",1971,Y,0,77416,HISTADD_chuck_lowery,0,,,,0,,1971
Kyle Lowry,"Lowry, Kyle",2006,Y,0,200768,kyle_lowry,1,TOR,Toronto,raptors,1610612761,Raptors,2018
Jordan Loyd,"Loyd, Jordan",2018,Y,1,1628070,jordan_loyd,0,,,,0,,2018
Al Lucas,"Lucas, Al",1948,Y,0,77417,HISTADD_lukey_lucas,0,,,,0,,1948
Jerry Lucas,"Lucas, Jerry",1963,Y,0,77418,HISTADD_jerry_lucas,0,,,,0,,1973
John Lucas,"Lucas, John",1976,Y,0,77419,HISTADD_john_lucas,0,,,,0,,1989
Kalin Lucas,"Lucas, Kalin",2014,Y,1,203564,kalin_lucas,0,,,,0,,2018
Maurice Lucas,"Lucas, Maurice",1976,Y,0,77420,HISTADD_maurice_lucas,0,,,,0,,1987
John Lucas III,"Lucas III, John",2005,Y,11,101249,john_lucas iii,0,,,,0,,2016
Ted Luckenbill,"Luckenbill, Ted",1961,Y,0,77421,HISTADD_ted_luckenbill,0,,,,0,,1962
Tyronn Lue,"Lue, Tyronn",1998,Y,0,1731,tyronn_lue,0,,,,0,,2008
Jim Luisi,"Luisi, Jim",1953,Y,0,77422,HISTADD_jim_luisi,0,,,,0,,1953
Al Lujack,"Lujack, Al",1946,Y,0,77423,HISTADD_al_lujack,0,,,,0,,1946
Phil Lumpkin,"Lumpkin, Phil",1974,Y,0,77424,HISTADD_phil_lumpkin,0,,,,0,,1975
Ray Lumpp,"Lumpp, Ray",1948,Y,0,77425,HISTADD_ray_lumpp,0,,,,0,,1952
